name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Marcus Rashford,MID,Man Utd,3.9,0,0,18,0,13.8,306,108,0,1,9.5,34.2,2020-12-05T17:30:00Z,45,19,0,0,0,0,11,0,440895,3,1,47.0,6,-84742,14070,98812,95,False,0,11
Theo Walcott,MID,Southampton,3.7,0,0,0,0,2.5,148,100,1,0,0.4,0.0,2020-12-07T20:00:00Z,68,3,0,0,0,0,11,0,65407,2,1,7.0,2,13535,20558,7023,58,False,0,11
Moussa Djenepo,MID,Southampton,2.3,0,0,-4,0,0.8,382,100,1,0,1.0,0.0,2020-12-07T20:00:00Z,45,3,0,0,0,0,11,0,7786,2,1,11.0,0,2123,2555,432,54,False,1,11
Andreas Pereira,MID,Man Utd,0.0,0,0,0,0,0.0,304,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,19,0,0,0,0,11,0,2717,3,1,0.0,0,-53,13,66,48,False,0,11
Andros Townsend,MID,Crystal Palace,2.2,0,0,0,0,0.0,137,107,0,0,0.0,0.0,2020-12-06T12:00:00Z,0,18,0,0,0,0,11,0,156793,5,1,0.0,0,-14456,5876,20332,59,False,0,11
N'Golo Kanté,MID,Chelsea,3.2,0,0,10,0,3.5,113,102,1,0,1.6,10.6,2020-12-05T20:00:00Z,90,10,0,0,0,0,11,0,256725,1,3,2.0,2,1334,14705,13371,49,True,0,11
Tyler Roberts,MID,Leeds,-0.5,0,0,0,0,0.0,206,102,0,0,0.0,0.0,2020-12-05T20:00:00Z,0,5,0,0,0,0,11,0,4725,1,3,0.0,0,-225,106,331,48,False,0,11
Scott McTominay,MID,Man Utd,1.5,0,0,10,0,4.5,309,108,1,0,2.3,14.2,2020-12-05T17:30:00Z,90,19,0,0,0,0,11,0,19649,3,1,4.0,2,-2422,448,2870,49,False,0,11
Ferran Torres,MID,Man City,4.5,0,0,0,0,0.0,287,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,8,0,0,0,0,11,0,163703,0,2,0.0,0,41577,52595,11018,69,True,0,11
Pierre-Emile Højbjerg,MID,Spurs,3.0,0,0,13,1,0.9,396,106,0,0,2.8,19.8,2020-12-06T16:30:00Z,90,1,0,0,0,0,11,0,66575,0,2,7.0,3,2527,7460,4933,49,True,0,11
Pierre-Emerick Aubameyang,MID,Arsenal,2.3,0,0,6,0,7.3,4,106,2,0,3.5,1.8,2020-12-06T16:30:00Z,90,17,0,0,0,0,11,0,742348,0,2,26.0,2,-108638,2646,111284,115,False,0,11
Frederico Rodrigues de Paula Santos,MID,Man Utd,2.2,0,0,0,0,0.0,299,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,19,0,0,0,0,11,0,14392,3,1,0.0,0,156,1613,1457,53,False,0,11
Neeskens Kebano,MID,Fulham,-1.5,0,0,0,0,0.0,180,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,12,0,0,0,0,11,0,3675,0,2,0.0,0,-168,42,210,48,False,0,11
Oriol Romeu Vidal,MID,Southampton,1.7,0,0,9,0,13.0,364,100,1,0,3.5,13.8,2020-12-07T20:00:00Z,90,3,0,0,0,0,11,0,344797,2,1,8.0,1,-3850,25491,29341,45,False,1,11
Mateusz Bogusz,MID,Leeds,0.0,0,0,0,0,0.0,533,102,0,0,0.0,0.0,2020-12-05T20:00:00Z,0,5,0,0,0,0,11,0,1150,1,3,0.0,0,32,174,142,44,False,0,11
Harvey Elliott,MID,Liverpool,0.0,0,0,0,0,0.0,265,103,0,0,0.0,0.0,2020-12-06T19:15:00Z,0,20,0,0,0,0,11,0,9328,0,4,0.0,0,-69,681,750,43,True,0,11
Nemanja Matic,MID,Man Utd,2.2,0,0,0,0,0.0,295,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,19,0,0,0,0,11,0,16675,3,1,0.0,0,-83,796,879,48,False,0,11
Kai Havertz,MID,Chelsea,1.5,0,0,6,0,15.2,500,102,1,0,2.9,5.0,2020-12-05T20:00:00Z,66,10,0,0,0,0,11,0,256073,1,3,9.0,2,-12574,4528,17102,83,True,0,11
Dale Stephens,MID,Burnley,-0.4,0,0,0,0,0.0,55,101,0,0,0.0,0.0,2020-12-05T12:30:00Z,0,7,0,0,0,0,11,0,407243,1,1,0.0,0,-27265,9337,36602,43,True,0,11
Kamil Grosicki,MID,West Brom,-0.5,0,0,0,0,0.0,410,107,0,0,0.0,0.0,2020-12-06T12:00:00Z,0,6,0,0,0,0,11,0,2348,5,1,0.0,0,-63,17,80,53,True,0,11
James Ward-Prowse,MID,Southampton,6.0,1,0,23,0,41.1,370,100,1,0,6.7,26.2,2020-12-07T20:00:00Z,90,3,0,0,0,0,11,0,946651,2,1,0.0,5,366291,389231,22940,61,False,0,11
